Status,VendorCode,VendorName,JV Date,InvoiceNo,"InvoiceDate ",Description,InvoiceAmt,Total GST,IGSTAmount,CGSTAmount,SGSTAmount,TdsAmount,Payable,ExpenseCode,RoundOff,Invoice Created By
Payment Approved,SC02,KOCHAR PROPERTIES PVT LTD,2023-12-16,444,2023-12-07,"KOCHAR-EBCHARG,Chennai Branch EB charges Nov-2023",101382.00,18248.76,0.00,9124.38,9124.38,0.00,119631.00,EXP031,0.24,shaji@flattrade.in
Payment Approved,SC01,S.A.COMPUTER FORMS,2023-12-27,037/23-24,2023-12-23,"SACOM-IDCARDS,ID Cards Purchased 3NOS",270.00,48.60,0.00,24.30,24.30,0.00,318.00,EXP007,-0.60,shaji@flattrade.in
Payment Approved,SC02,KOCHAR PROPERTIES PVT LTD,2024-01-02,484,2024-01-02,"KOCHAR-MAINT,Kochar Maintenance Month Of Jan-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
Payment Approved,SC02,KOCHAR PROPERTIES PVT LTD,2024-01-02,468,2024-01-02,"KOCHAR-RENT,Kochar Rent Month Of Jan-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
Payment Approved,SC02,KOCHAR PROPERTIES PVT LTD,2024-01-10,497,2024-01-08,"KOCHAR-EBBILL,Chennai Branch EB charges Dec-2023",96606.00,17389.08,0.00,8694.54,8694.54,0.00,113995.00,EXP031,-0.08,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-01-27,040/23-24,2024-01-18,"SACOM-IDCARDS,Id cards and folders purchased",3270.00,590.00,0.00,295.00,295.00,0.00,3860.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-01-27,040/23-24,2024-01-18,"SACOM-IDCARDS,Id cards and folders purchased",3270.00,590.00,0.00,295.00,295.00,0.00,3860.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-02-01,537,2024-02-01,"KOCHAR-MAINTFEB,Kochar Maintenance Month OF Feb-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-02-01,520,2024-02-01,"KOCHAR-RENTFEB,Kochar Rent Month OF Feb-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-02-12,549,2024-02-07,"KOCHAR-EB,Chennai Branch EB charges Jan-2024",104654.00,18837.72,0.00,9418.86,9418.86,0.00,123492.00,EXP031,0.28,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-02-21,046/23-24,2024-02-20,"SACOM-IDCARDS,Id cards purchased",1170.00,210.00,0.00,105.00,105.00,0.00,1380.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-03-01,589,2024-03-01,"KOCHAR-MAINTMAR,Kochar Maintenance Month Of Mar-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,sethuraman.b@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-03-01,572,2024-03-01,"KOCHAR-RENTMAR,Kochar Rent Month Of Mar-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,sethuraman.b@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-03-07,601,2024-03-07,"KOCHAR-EBFEB2024,Kochar EB charges month of Feb-2024",113155.00,20367.90,0.00,10183.95,10183.95,0.00,133523.00,EXP031,0.10,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-04-01,21/24-25,2024-04-01,"KOCHAR-MAINTAPR,Kochar Maintenance Month Of April-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-04-01,5/24-25,2024-04-01,"KOCHAR-RENT APR, Kochar Rent Month Of APR-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-04-01,050/23-24,2024-03-15,IDCARDS-SACOM-ID Cards Purchased qty 2,180.00,32.40,0.00,16.20,16.20,0.00,212.00,SC01,-0.40,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-04-10,002/24-25,2024-04-10,"IDCARDS-SACOM,ID Cards Purchased Qty-9",810.00,145.80,0.00,72.90,72.90,0.00,956.00,EXP007,0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-04-09,33/24-25,2024-04-09,"KOCHAR-EB,Chennai HO EB Charges March-2024",155431.00,0.00,0.00,0.00,0.00,0.00,155431.00,SC02,0.00,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-05-01,72/24-25,2024-05-01,"KOCHAR-MAINTAPR,Kochar Maintenance Month Of May-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-05-01,56/24-25,2024-05-01,"KOCHAR-RENT APR, Kochar Rent Month Of MAY-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-05-07,83/24-25,2024-05-07,"KOCHAR-EBAPRIL-24,EB Charges for month of April-2024",148051.00,26649.18,0.00,13324.59,13324.59,0.00,174700.00,EXP031,-0.18,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-06-03,125/24-25,2024-06-03,"KOCHAR-MAINTJUNE,Kochar Maintenance Month Of June-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-06-03,109/24-25,2024-06-03,"KOCHAR-RENTJUNE, Kochar Rent Month Of June-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-06-07,136/24-25,2024-06-07,"KOCHAR-EBMAY-24,EB Charges for month of May-2024 Chennai HO",150972.00,27174.96,0.00,13587.48,13587.48,0.00,178147.00,EXP031,0.04,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-06-18,009/24-25,2024-06-18,"WINDOWCOVER-SACOM,Window cover pasting charges small covers ID Cards Purchased",84270.00,15168.60,0.00,7584.30,7584.30,0.00,99438.00,EXP007,-0.60,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-06-18,009/24-25,2024-06-18,"WINDOWCOVER-SACOM,Window cover pasting charges small covers ID Cards Purchased",84270.00,15168.60,0.00,7584.30,7584.30,0.00,99438.00,EXP007,-0.60,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-06-18,009/24-25,2024-06-18,"WINDOWCOVER-SACOM,Window cover pasting charges small covers ID Cards Purchased",84270.00,15168.60,0.00,7584.30,7584.30,0.00,99438.00,EXP007,-0.60,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-06-24,010/24-25,2024-06-24,"IDCARDS-SACOM,ID Cards and visiting cards purchased ID cards-47 Visiting cards-300",1980.00,356.40,0.00,178.20,178.20,0.00,2336.00,EXP007,-0.40,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-06-24,010/24-25,2024-06-24,"IDCARDS-SACOM,ID Cards and visiting cards purchased ID cards-47 Visiting cards-300",1980.00,356.40,0.00,178.20,178.20,0.00,2336.00,EXP007,-0.40,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-06-28,013/24-25,2024-06-28,"SACOM-VISITINGCARD,Visiting cards printing charges QTY-100 Sivaraj ST845 Mail id change",240.00,43.20,0.00,21.60,21.60,0.00,284.00,EXP007,0.80,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-07-01,178/24-25,2024-07-01,"KOCHAR-MAINTJULY,Kochar Maintenance Month Of July-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-07-01,161/24-25,2024-07-01,"KOCHAR-RENTJULY, Kochar Rent Month Of July-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-07-08,190/24-25,2024-07-08,"KOCHAR-EBJUNE-24,EB Charges for month of June-2024 Chennai HO",133023.00,23944.14,0.00,11972.07,11972.07,0.00,156967.00,EXP031,-0.14,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-08-01,231/24-25,2024-08-01,"KOCHAR-MAINTAUG,Kochar Maintenance Month Of Aug-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-08-01,214/24-25,2024-08-01,"KOCHAR-RENTAUG, Kochar Rent Month Of Aug-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-08-08,245/24-25,2024-08-08,"KOCHAR-EB,Eb charges for Chennai HO July-2024",146997.00,26459.46,0.00,13229.73,13229.73,0.00,173456.00,EXP031,-0.46,shaji@flattrade.in
